id,symbol,name
01coin,zoc,01coin
0chain,zcn,Zus
0xcoco,coco,0xCoco
0xgen,xgn,0xGen
0xlp,openli,OpenLiquidity
0xlsd,0xlsd,0xLSD
0xnumber,oxn,0xNumber
0xprivacy,0xp,0xPrivacy
0xscans,scan,0xScans
1000bonk,1000bonk,1000BONK
1000btt,1000btt,1000BTT
1000cat,1000cat,1000CAT
1000chems,1000cheems,1000CHEMS
1000rats,1000rats,1000RATS
1000shib,1000shib,1000SHIB
1000troll,1000troll,1000TROLL
1900rugrat,rugrat,1900Rugrat
1art,1art,OneArt
1ex,1ex,1ex
1guy,1guy,1GUY
1inch,1inch,1inch
1intro,chef,CoinChef
1mbabydoge,1mbabydoge,1MBABYDOGE
1mdc,1mdc,1MDC
1sol,1sol,1Sol
2024pump,pump,2024PUMP
2080,2080,2080
20ex,20ex,20EX
21million,21m,21Million
28vck,vck,28VCK
2moon,moon,2MOON
360noscope420blazeit,mlg,360noscope420blazeit
3d3d,3d3d,3d3d
3dpass,p3d,3DPass
4,four,4
404ver,top,404ver
42069coin,42069coin,42069COIN
4chan,4chan,4Chan
4everland,4ever,4EVERLAND
4gentic,4gs,4GENTIC
4trump,4win,4TRUMP
5ire,5ire,5ire
5mc,5mc,5mc
5tars,5tars,5TARS
69420,69420,69420
69bird,brd,69BIRD
777,777,777
777fuckilluminatiworldwid,fiw,777FuckIlluminatiWorldwid
88mph,mph,88mph
8chan,8chan,8chan
8pay,8pay,8Pay
99starz,stz,99Starz
9inch,9inch,9inch
9mm,9mm,9mm
9to5io,9to5,9to5io
a16gems,a16g,a16gems
a3s,aa,A3S
aastoken,aast,AASToken
aave,aave,Aave
aavegotchi,ghst,Aavegotchi
abax,abax,Abax
abble,aabl,Abble
abc,abc,ABC
abcnuri,abcnuri,abcNURI
abcphar,abcphar,abcPHAR
abe,abe,ABE
abelian,abel,Abelian
abey,abey,Abey
abi,abi,Abi
aboard,abe,Aboard
abond,abond,ApeBond
abster,abster,Abster
abtc,abtc,aBTC
acala,aca,Acala
acent,ace,Acent
achain,act,Achain
achi,achi,achi
acmfinance,acm,acmFinance
actual,actual,ACTUAL
acurast,acu,Acurast
adacash,adacash,ADAcash
adadao,adao,ADADao
adamant,addy,Adamant
adapad,adapad,ADAPad
adaswap,asw,AdaSwap
addickted,dic,adDICted
adex,adx,AdEx
adillo,adillo,Adillo
adrena,adx,Adrena
adreward,ad,ADreward
adrise,rise,AdRise
adroverse,adr,Adroverse
adshares,ads,Adshares
aegents,aegnt,Aegents
aegis,ags,Aegis
aejo,aejo,Aejo
aelf,elf,aelf
aelin,aelin,Aelin
aeon,aeon,Aeon
aergo,aergo,Aergo
aerobud,aerobud,AEROBUD
aeron,arnx,Aeron
aerosol,aerosol,aeroSOL
aesirx,aesirx,AesirX
aesoperator,aesoperator,Aesoperator
aeternity,ae,Aeternity
aethernet,aether,Aethernet
aetherx,aetx,AetherX
aethir,ath,Aethir
aeusd,aeusd,aeUSD
affinity,afnty,Affinity
affyn,fyn,Affyn
afreum,afr,Afreum
africarare,ubu,Africarare
afrostar,afro,Afrostar
agatech,agata,Agatech
agawa,agawa,AGAWA
agenius,agns,Agenius
agent2025,agent2025,Agent2025
agentaigo,agent,AgentAlgo
agentensor,agts,AgenTensor
agentipy,apy,AgentiPy
agentlayer,agent,AgentLayer
agently,agi,Agently
agentme,agme,AgentMe
agentsgpt,aigpt,AgentsGPT
agenttank,tank,AgentTank
agentverse,agv,AgentVerse
agentwood,aws,Agentwood
agentxbt,agxbt,AgentXBT
ageofgods,aog,AgeOfGods
ageur,eura,EURA
agg,agg,AGG
agii,agii,AGII
agility,agi,Agility
agio,agio,Agio
agixt,agixt,AGiXT
ago,ago,ago
agorahub,aga,AgoraHub
agoric,bld,Agoric
agrello,dlt,Agrello
agritech,agt,Agritech
agus,agus,AGUS
ahatoken,aht,AhaToken
ai16z,ai16z,ai16z
ai16zeliza,eliza,ai16zeliza
ai16zterminalfartarczerellmswarm,gudtek,ai16zterminalfartARCzereLLMswarm
ai69x,ai69x,ai69x
ai9000,ai9000,ai9000
ai99x,ai99x,ai99x
aiakita,aia,AiAkita
aicat,aicat,AICAT
aiccelerate,aicc,Aiccelerate
aicean,aice,Aicean
aicell,aicell,AICell
aichain,ait,AICHAIN
aicore,aicore,AICORE
aicrew,aicr,AICrew
aicrostrategy,aistr,AicroStrategy
aida,aida,AIDA
aidaovc,aidaovc,aiDAOvc
aiearn,aie,AIEarn
aigentx,agx,AGIX
aihub,aih,AIHub
ailive,ailive,ailive
aimalls,ait,AiMalls
aimerica,uai,AIMERICA
ainalyzr,ainal,AInalyzr
aintivirus,ainti,AIntivirus
aion,aion,Aion
aipad,aipad,AIPad
aipets,aipets,Aipets
aipocalypto,aipo,Aipocalypto
aiptp,atmt,AiPTP
aipump,aipump,aiPump
air,air,AIR
airbtc,airbtc,AirBTC
airena,airena,AIrena
airian,air,AIRian
airight,airi,aiRight
airpuff,apuff,Airpuff
airswap,ast,AirSwap
airtnt,airtnt,AirTnT
aiscii,aiscii,AISCII
aishare,aishare,AIShare
aishiba,shibai,AiShiba
aisignal,aisig,AISignal
aisociety,ais,AISociety
aiswap,aiswap,AISwap
aisweatshop,defai,AISweatShop
aitaxbot,aitax,AITaxBot
aither,aither,Aither
aitrump,aitrump,AITRUMP
aittcoin,aitt,Aittcoin
aiwithdaddyissues,shegen,Aiwithdaddyissues
aiws,aiws,aiws
akachi,akachi,AKACHI
akashalife,ak1111,Akashalife
akio,akio,Akio
akitavax,akitax,Akitavax
akropolis,kaon,Kaon
alaska,alaska,Alaska
alaunchai,alai,AlaunchAI
albedo,albedo,ALBEDO
albert,albert,Albert
alchemist,mist,Alchemist
alchemix,alcx,Alchemix
aldrin,rin,Aldrin
alea,alea,Alea
aleo,aleo,ALEO
alephium,alph,Alephium
aletheia,aletheia,Aletheia
alexis,alexis,ALEXIS
alf,alf,ALF
algorand,algo,Algorand
algostable,stbl,AlgoStable
algotrade,algt,AlgoTrade
alibabacoin,abbc,ABBC
alice,alice,Alice
alicenet,alca,AliceNet
alien,alien,Alien
alienb,alienb,AlienB
aliens,aliens,Aliens
alienswap,alien,AlienSwap
alienxchain,aix,AlienXChain
aligned,align,Aligned
alita,ali,Alita
alitaai,alita,AlitaAI
alitas,alt,Alitas
allbridge,abr,Allbridge
alldomains,all,AllDomains
allsafe,asafe,AllSafe
alltoscan,ats,Alltoscan
ally,aly,Ally
alman,alman,Alman
alon,alon,Alon
alp,alp,ALP
alphaarc,alpha,AlphaArc
alphadoge,alphadoge,AlphaDOGE
alphanova,anva,AlphaNova
alphbanx,abx,AlphBanX
alphpad,apad,AlphPad
alphr,alphr,Alphr
altair,air,Altair
altava,tava,ALTAVA
altbase,altb,Altbase
altctrl,ctrl,AltCTRL
althea,althea,ALTHEA
altitude,altd,Altitude
altlayer,alt,AltLayer
altoid,altoid,Altoid
altoken,aken,ALTOKEN
altsdaddy,ddy,AltsDaddy
altsignals,asi,AltSignals
altura,alu,Altura
aluna,aln,Aluna
alva,aa,ALVA
alxai,alxai,alXAI
amalas,amal,AMALAS
amasa,amas,Amasa
amateras,amt,Amateras
amaterasu,ama,Amaterasu
amazingteamdao,amazingteam,AmazingTeamDAO
amazy,azy,Amazy
amber,amb,AirDAO
amberdao,amber,AmberDAO
ambra,ambr,Ambra
amc,amc,AMC
america,america,America
america1776,america,America1776
amocucinare,amore,Amocucinare
amond,amon,AmonD
ampleforth,ampl,Ampleforth
amply,amply,AMPLY
anagata,aha,Anagata
analog,anlog,Analog
analos,analos,analoS
analysoor,zero,Analysoor
anarchy,anarchy,Anarchy
anchorswap,anchor,AnchorSwap
ancient8,a8,Ancient8
andi,andi,Andi
anduschain,deb,AndUsChain
andy,andy,Andy
andy70b,andy70b,ANDY70B
andyerc,andy,AndyBlast
andyman,andyman,Andyman
angola,agla,Angola
angryb,anb,Angryb
angryguy,angryguy,ANGRYGUY
angryslerf,angryslerf,AngrySlerf
anima,anima,ANIMA
animalia,anim,Animalia
animated,am,Animated
anime,anime,Animecoin
animefication,anime,Animefication
animeswap,ani,AnimeSwap
anonymous,anon,Anonymous
anryton,mol,Anryton
ansom,ansom,Ansom
ant,ant,ANT
antimatter,tune,Bitune
antitoken,anti,Antitoken
antmons,ams,Antmons
anvil,anvl,Anvil
anydex,adx,AnyDex
anyswap,any,Anyswap
aok,aok,AOK
apecoin,ape,ApeCoin
aped,aped,Aped
apedog,apedog,APEDOG
apeironnft,aprs,Apeiron
apejackpot,apet,ApeJackPot
apenft,nft,APENFT
apertum,aptm,Apertum
apescreener,apes,ApeScreener
apetardio,apetardio,Apetardio
apetos,ape,Apetos
apewifhat,apewifhat,ApeWifHat
apexrom,apr,Apexrom
api3,api3,Api3
apicoin,api,Apicoin
apidae,apt,Apidae
apillon,nctr,Apillon
apollo,apl,Apollo
appics,apx,Appics
apraemio,apra,Apraemio
apricot,aprt,Apricot
april,april,April
apron,apn,Apron
apsis,aps,Apsis
aptos,apt,Aptos
apyswap,apys,APYSwap
aqtis,aita,AITA
aqualibre,aqla,Aqualibre
aquanee,aqdc,Aquanee
aquarius,aqua,Aquarius
aquathecoin,aqua,Aquathecoin
arabic,abic,Arabic
aragon,ant,Aragon
araracoin,arara,Araracoin
arbidoge,adoge,ArbiDoge
arbinauts,arbinauts,Arbinauts
arbinyan,nyan,ArbiNYAN
arbipad,arbi,ArbiPad
arbitrum,arb,Arbitrum
arbius,aius,Arbius
arbswap,arbs,Arbswap
arbus,arbus,Arbus
arbuz,arbuz,ARBUZ
arc,arc,Arc
arcadeum,arc,Arcadeum
arcadia,aaa,Arcadia
arcadium,arcadium,Arcadium
arcblock,abt,Arcblock
archeriumai,arca,ArcheriumAi
archethic,uco,Archethic
architex,arcx,Architex
archloot,al,ArchLoot
archway,arch,Archway
arcona,arcona,Arcona
arcs,arx,ARCS
ardana,dana,Ardana
ardor,ardr,Ardor
argentinacoin,arg,ArgentinaCoin
argo,argo,ArGoApp
argon,argon,Argon
ari,ari,ARI
ari10,ari10,Ari10
aria,aria,Aria
ariacoin,aria,Ariacoin
arianee,aria20,Arianee
